initialization_time,valid_time,lead_hours,latitude,longitude,forecast_provider,forecast_model,reference_source,data_type,forecast_temperature,forecast_precipitation,forecast_wind,forecast_pressure,forecast_humidity,forecast_cloud_cover,ensemble_spread,run_revision,reference_temperature,reference_precipitation,reference_wind,reference_pressure,reference_humidity,error_temperature,error_precipitation,error_wind,error_pressure,error_humidity,alignment_method,spatial_offset_deg,is_bust,bust_severity,labeling_method,operational_threshold
2024-07-09T00:00:00,2024-07-10 00:00:00,24,18.5204,73.8567,open-meteo-previous-runs,gfs_seamless,era5-reanalysis,REAL,22.6,0.1,10.6,1006.1,81.0,100.0,1.0,0.0,23.0,0.0,11.1,1006.5,89.0,0.4,0.1,0.5,0.4,8.0,Nearest Neighbor within <= 0.5°,0.0,0,NONE,DYNAMIC_HORIZON_SCALED,25.0
2024-07-09T01:00:00,2024-07-10 01:00:00,24,18.5204,73.8567,open-meteo-previous-runs,gfs_seamless,era5-reanalysis,REAL,22.8,0.0,10.1,1006.8,78.0,100.0,1.0,0.0,23.1,0.0,9.3,1007.5,89.0,0.3,0.0,0.8,0.7,11.0,Nearest Neighbor within <= 0.5°,0.0,0,NONE,DYNAMIC_HORIZON_SCALED,25.0
2024-07-09T02:00:00,2024-07-10 02:00:00,24,18.5204,73.8567,open-meteo-previous-runs,gfs_seamless,era5-reanalysis,REAL,23.0,0.0,10.4,1007.4,77.0,100.0,1.0,0.0,23.9,0.0,10.0,1008.1,85.0,0.9,0.0,0.4,0.7,8.0,Nearest Neighbor within <= 0.5°,0.0,0,NONE,DYNAMIC_HORIZON_SCALED,25.0
2024-07-09T03:00:00,2024-07-10 03:00:00,24,18.5204,73.8567,open-meteo-previous-runs,gfs_seamless,era5-reanalysis,REAL,23.4,0.0,10.5,1007.7,76.0,100.0,1.0,0.0,24.9,0.0,17.1,1008.5,81.0,1.5,0.0,6.6,0.8,5.0,Nearest Neighbor within <= 0.5°,0.0,0,NONE,DYNAMIC_HORIZON_SCALED,25.0
2024-07-09T04:00:00,2024-07-10 04:00:00,24,18.5204,73.8567,open-meteo-previous-runs,gfs_seamless,era5-reanalysis,REAL,23.9,0.0,9.7,1007.9,75.0,100.0,1.0,0.0,25.8,0.1,19.0,1009.0,76.0,1.9,0.1,9.3,1.1,1.0,Nearest Neighbor within <= 0.5°,0.0,1,MODERATE,DYNAMIC_HORIZON_SCALED,25.0
2024-07-09T05:00:00,2024-07-10 05:00:00,24,18.5204,73.8567,open-meteo-previous-runs,gfs_seamless,era5-reanalysis,REAL,24.7,0.0,11.9,1007.8,72.0,100.0,1.0,0.0,26.5,0.2,18.4,1009.0,74.0,1.8,0.2,6.5,1.2,2.0,Nearest Neighbor within <= 0.5°,0.0,0,NONE,DYNAMIC_HORIZON_SCALED,25.0
2024-07-09T06:00:00,2024-07-10 06:00:00,24,18.5204,73.8567,open-meteo-previous-runs,gfs_seamless,era5-reanalysis,REAL,28.2,0.0,19.1,1007.3,61.0,96.0,1.0,0.0,27.2,0.2,19.5,1008.6,72.0,1.0,0.2,0.4,1.3,11.0,Nearest Neighbor within <= 0.5°,0.0,0,NONE,DYNAMIC_HORIZON_SCALED,25.0
2024-07-09T07:00:00,2024-07-10 07:00:00,24,18.5204,73.8567,open-meteo-previous-runs,gfs_seamless,era5-reanalysis,REAL,27.8,0.0,20.3,1006.8,63.0,100.0,1.0,0.0,27.8,0.0,18.3,1008.1,69.0,0.0,0.0,2.0,1.3,6.0,Nearest Neighbor within <= 0.5°,0.0,0,NONE,DYNAMIC_HORIZON_SCALED,25.0
2024-07-09T08:00:00,2024-07-10 08:00:00,24,18.5204,73.8567,open-meteo-previous-runs,gfs_seamless,era5-reanalysis,REAL,27.6,0.0,20.3,1006.1,64.0,100.0,1.0,0.0,28.2,0.0,16.6,1007.4,70.0,0.6,0.0,3.7,1.3,6.0,Nearest Neighbor within <= 0.5°,0.0,0,NONE,DYNAMIC_HORIZON_SCALED,25.0
2024-07-09T09:00:00,2024-07-10 09:00:00,24,18.5204,73.8567,open-meteo-previous-runs,gfs_seamless,era5-reanalysis,REAL,27.5,0.0,21.0,1005.7,64.0,100.0,1.0,0.0,27.6,0.1,18.7,1006.4,72.0,0.1,0.1,2.3,0.7,8.0,Nearest Neighbor within <= 0.5°,0.0,0,NONE,DYNAMIC_HORIZON_SCALED,25.0
